  4.71238898e-03             -nan            0
  7.85398163e-03   6.76086646e+04           18
  1.09955743e-02   3.14015718e+04            8
  1.41371669e-02   5.08687399e+04           54
  1.72787596e-02   1.37217431e+05           12
  2.04203522e-02   6.15729085e+04           86
  2.35619449e-02   5.73164197e+04           72
  2.67035376e-02   5.03299986e+04          138
  2.98451302e-02   6.34053795e+04           96
  3.29867229e-02   5.37168454e+04          254
  3.61283155e-02   4.10256780e+04          156
  3.92699082e-02   3.73841913e+04          294
  4.24115008e-02   4.26345653e+04          176
  4.55530935e-02   3.76753760e+04          426
  4.86946861e-02   3.69227457e+04          312
  5.18362788e-02   3.71091636e+04          450
  5.49778714e-02   3.34123998e+04          416
  5.81194641e-02   3.05606827e+04          726
  6.12610567e-02   2.80573798e+04          444
  6.44026494e-02   2.83370085e+04          806
  6.75442421e-02   2.71128120e+04          552
  7.06858347e-02   2.54882892e+04          906
  7.38274274e-02   2.74187063e+04          720
  7.69690200e-02   2.37774655e+04         1094
  8.01106127e-02   2.13570738e+04          876
  8.32522053e-02   2.26660893e+04         1302
  8.63937980e-02   1.93513155e+04         1064
  8.95353906e-02   2.03049551e+04         1434
  9.26769833e-02   1.75490421e+04         1104
  9.58185759e-02   1.66273145e+04         1518
  9.89601686e-02   1.66428601e+04         1556
  1.02101761e-01   1.59589941e+04         1782
  1.05243354e-01   1.52312558e+04         1524
  1.08384947e-01   1.53313299e+04         2198
  1.11526539e-01   1.39294049e+04         1728
  1.14668132e-01   1.44308488e+04         2442
  1.17809725e-01   1.38583603e+04         1800
  1.20951317e-01   1.32023572e+04         2558
  1.24092910e-01   1.31913136e+04         2268
  1.27234502e-01   1.25867253e+04         2766
  1.30376095e-01   1.29387075e+04         2504
  1.33517688e-01   1.19462512e+04         3210
  1.36659280e-01   1.21313822e+04         2544
  1.39800873e-01   1.15294251e+04         3438
  1.42942466e-01   1.10889165e+04         2900
  1.46084058e-01   1.07848392e+04         3702
  1.49225651e-01   1.08963766e+04         3312
  1.52367244e-01   9.83445049e+03         3818
  1.55508836e-01   9.76653073e+03         3552
  1.58650429e-01   9.16884382e+03         4482
  1.61792022e-01   9.36479038e+03         3848
  1.64933614e-01   8.99483871e+03         4758
  1.68075207e-01   8.69505054e+03         3996
  1.71216800e-01   8.84318899e+03         5070
  1.74358392e-01   8.48837092e+03         4640
  1.77499985e-01   8.68947768e+03         5322
  1.80641578e-01   8.46718017e+03         4536
  1.83783170e-01   8.48121475e+03         6014
  1.86924763e-01   8.00151140e+03         5148
  1.90066356e-01   7.95934822e+03         6078
  1.93207948e-01   7.79253706e+03         5280
