0.004712 49231.889269
0.005712 48670.749820
0.006712 48114.525090
0.007712 47563.192745
0.008712 47016.730452
0.009712 46475.115877
0.010712 45938.326686
0.011712 45406.340548
0.012712 44879.135126
0.013712 44356.688090
0.014712 43838.977103
0.015712 43325.979835
0.016712 42817.673950
0.017712 42314.037115
0.018712 41815.046997
0.019712 41320.681263
0.020712 40830.917578
0.021712 40345.733610
0.022712 39865.107025
0.023712 39389.015489
0.024712 38917.436669
0.025712 38450.348231
0.026712 37987.727843
0.027712 37529.553169
0.028712 37075.801878
0.029712 36626.451635
0.030712 36181.480107
0.031712 35740.864961
0.032712 35304.583862
0.033712 34872.614479
0.034712 34444.934476
0.035712 34021.521520
0.036712 33602.353279
0.037712 33187.407418
0.038712 32776.661604
0.039712 32370.093504
0.040712 31967.680784
0.041712 31569.401110
0.042712 31175.232149
0.043712 30785.151569
0.044712 30399.137034
0.045712 30017.166212
0.046712 29639.216768
0.047712 29265.266371
0.048712 28895.292686
0.049712 28529.273379
0.050712 28167.186118
0.051712 27809.008568
0.052712 27454.718396
0.053712 27104.293269
0.054712 26757.710854
0.055712 26414.948816
0.056712 26075.984822
0.057712 25740.796539
0.058712 25409.361633
0.059712 25081.657771
0.060712 24757.662620
0.061712 24437.353845
0.062712 24120.709113
0.063712 23807.706091
0.064712 23498.322446
0.065712 23192.535843
0.066712 22890.323950
0.067712 22591.664432
0.068712 22296.534957
0.069712 22004.913191
0.070712 21716.776800
0.071712 21432.103451
0.072712 21150.870810
0.073712 20873.056545
0.074712 20598.638320
0.075712 20327.593804
0.076712 20059.900662
0.077712 19795.536561
0.078712 19534.479168
0.079712 19276.706148
0.080712 19022.195169
0.081712 18770.923897
0.082712 18522.869998
0.083712 18278.011140
0.084712 18036.324988
0.085712 17797.789209
0.086712 17562.381469
0.087712 17330.079436
0.088712 17100.860775
0.089712 16874.703153
0.090712 16651.584237
0.091712 16431.481693
0.092712 16214.373188
0.093712 16000.236387
0.094712 15789.048958
0.095712 15580.788568
0.096712 15375.432882
0.097712 15172.959567
0.098712 14973.346290
0.099712 14776.570717
0.100712 14582.610515
0.101712 14391.443349
0.102712 14203.046888
0.103712 14017.398797
0.104712 13834.476742
0.105712 13654.258391
0.106712 13476.721410
0.107712 13301.843465
0.108712 13129.602222
0.109712 12959.975349
0.110712 12792.940512
0.111712 12628.475377
0.112712 12466.557610
0.113712 12307.164879
0.114712 12150.274850
0.115712 11995.865190
0.116712 11843.913564
0.117712 11694.397639
0.118712 11547.295083
0.119712 11402.583560
0.120712 11260.240739
0.121712 11120.244285
0.122712 10982.571865
0.123712 10847.201145
0.124712 10714.109792
0.125712 10583.275473
0.126712 10454.675854
0.127712 10328.288601
0.128712 10204.091381
0.129712 10082.061861
0.130712 9962.177706
0.131712 9844.416584
0.132712 9728.756162
0.133712 9615.174104
0.134712 9503.648079
0.135712 9394.155752
0.136712 9286.674790
0.137712 9181.182860
0.138712 9077.657628
0.139712 8976.076761
0.140712 8876.417924
0.141712 8778.658786
0.142712 8682.777011
0.143712 8588.750267
0.144712 8496.556220
0.145712 8406.172537
0.146712 8317.576884
0.147712 8230.746928
0.148712 8145.660334
0.149712 8062.294771
0.150712 7980.627904
0.151712 7900.637399
0.152712 7822.300924
0.153712 7745.596144
0.154712 7670.500727
0.155712 7596.992338
0.156712 7525.048645
0.157712 7454.647313
0.158712 7385.766010
0.159712 7318.382401
0.160712 7252.474154
0.161712 7188.018935
0.162712 7124.994410
0.163712 7063.378245
0.164712 7003.148109
0.165712 6944.281666
0.166712 6886.756583
0.167712 6830.550527
0.168712 6775.641165
0.169712 6722.006162
0.170712 6669.623186
0.171712 6618.469903
0.172712 6568.523979
0.173712 6519.763082
0.174712 6472.164876
0.175712 6425.707030
0.176712 6380.367209
0.177712 6336.123080
0.178712 6292.952310
0.179712 6250.832564
0.180712 6209.741510
0.181712 6169.656815
0.182712 6130.556143
0.183712 6092.417163
0.184712 6055.217540
0.185712 6018.934942
0.186712 5983.547033
0.187712 5949.031482
0.188712 5915.365955
0.189712 5882.528118
0.190712 5850.495637
0.191712 5819.246179
0.192712 5788.757412
0.193712 5759.007000
0.194712 5729.972611
0.195712 5701.631911
0.196712 5673.962566
0.197712 5646.942244
0.198712 5620.548611
0.199712 5594.759333
0.200712 5569.552076
0.201712 5544.904508
0.202712 5520.794294
0.203712 5497.199102
0.204712 5474.096598
0.205712 5451.464448
0.206712 5429.280318
0.207712 5407.521876
0.208712 5386.166788
0.209712 5365.192720
0.210712 5344.577338
0.211712 5324.298311
0.212712 5304.333303
0.213712 5284.659981
0.214712 5265.256012
0.215712 5246.099063
0.216712 5227.166799
0.217712 5208.436888
0.218712 5189.886996
0.219712 5171.494789
0.220712 5153.238011
0.221712 5135.101683
0.222712 5117.083944
0.223712 5099.184307
0.224712 5081.402288
0.225712 5063.737401
0.226712 5046.189161
0.227712 5028.757082
0.228712 5011.440678
0.229712 4994.239465
0.230712 4977.152957
0.231712 4960.180668
0.232712 4943.322113
0.233712 4926.576806
0.234712 4909.944262
0.235712 4893.423996
0.236712 4877.015521
0.237712 4860.718354
0.238712 4844.532007
0.239712 4828.455996
0.240712 4812.489834
0.241712 4796.633038
0.242712 4780.885121
0.243712 4765.245597
0.244712 4749.713982
0.245712 4734.289789
0.246712 4718.972534
0.247712 4703.761731
0.248712 4688.656894
0.249712 4673.657538
0.250712 4658.763177
0.251712 4643.973327
0.252712 4629.287501
0.253712 4614.705214
0.254712 4600.225980
0.255712 4585.849315
0.256712 4571.574732
0.257712 4557.401747
